link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_chuo/nc_78906475/,マイキャッスル月島,2026-01-05,9490万円,東京都中央区月島１,東京メトロ有楽町線「月島」徒歩3分,55.32m2（壁芯）,2LDK,7.81m2,1997年2月
/ms/chuko/tokyo/sc_chuo/nc_78923388/,マイキャッスル月島,2026-01-05,9490万円,東京都中央区月島１,東京メトロ有楽町線「月島」徒歩3分,55.32m2（壁芯）,2LDK,7.81m2,1997年2月
/ms/chuko/tokyo/sc_chuo/nc_78826563/,ムーンアイランドタワー,2026-01-05,9750万円,東京都中央区月島２,東京メトロ有楽町線「月島」徒歩1分,48.48m2（14.66坪）（壁芯）,1LDK,8.99m2,2002年6月
/ms/chuko/tokyo/sc_chuo/nc_79040763/,シティタワー銀座東,2026-01-05,9780万円,東京都中央区湊２,ＪＲ京葉線「八丁堀」徒歩5分,34.54m2（壁芯）,1LDK,8m2,2019年1月
/ms/chuko/tokyo/sc_chuo/nc_78929678/,月島シティタワー,2026-01-05,9980万円,東京都中央区月島２,東京メトロ有楽町線「月島」徒歩2分,55.92m2（16.91坪）（壁芯）,2LDK,4.16m2,1999年1月
/ms/chuko/tokyo/sc_chuo/nc_78852992/,晴海アイランドトリトンスクエアビュータワー,2026-01-05,9980万円,東京都中央区晴海１,都営大江戸線「月島」徒歩6分,55.27m2（壁芯）,1LDK+S（納戸）,7.97m2,1998年2月
/ms/chuko/tokyo/sc_chuo/nc_78807578/,プレール・ドゥーク月島Ⅱ,2026-01-05,9999万円,東京都中央区佃３,東京メトロ有楽町線「月島」徒歩3分,55.1m2（壁芯）,2LDK,4.01m2,2018年1月
/ms/chuko/tokyo/sc_chuo/nc_78809950/,晴海アイランドトリトンスクエアビュータワー,2026-01-05,1億480万円,東京都中央区晴海１,東京メトロ有楽町線「月島」徒歩7分,55.27m2（16.71坪）（壁芯）,1LDK+S（納戸）,7.97m2,1998年2月
/ms/chuko/tokyo/sc_chuo/nc_78088395/,パークリュクス日本橋,2026-01-05,1億490万円,東京都中央区日本橋兜町,東京メトロ日比谷線「茅場町」徒歩3分,42m2（壁芯）,1LDK,7.65m2,2014年2月
/ms/chuko/tokyo/sc_chuo/nc_78988582/,佃スカイハイツ,2026-01-05,1億780万円,東京都中央区佃２,東京メトロ有楽町線「月島」徒歩3分,72.18m2（壁芯）,2LDK,18.34m2,1979年7月
/ms/chuko/tokyo/sc_chuo/nc_79012381/,佃スカイハイツ,2026-01-05,1億780万円,東京都中央区佃２,東京メトロ有楽町線「月島」徒歩3分,72.18m2（21.83坪）（壁芯）,2LDK,18.34m2,1979年7月
/ms/chuko/tokyo/sc_chuo/nc_78855054/,ドマーニ人形町,2026-01-05,1億980万円,東京都中央区日本橋大伝馬町,東京メトロ日比谷線「小伝馬町」徒歩3分,56.98m2（壁芯）,2LDK,3.05m2,2003年10月
/ms/chuko/tokyo/sc_chuo/nc_78676450/,HARUMI FLAG SUN VILLAGE T棟,2026-01-05,1億980万円,東京都中央区晴海５-5-7,都営大江戸線「勝どき」徒歩14分,49.38m2（壁芯）,1LDK,11.27m2,2025年10月
/ms/chuko/tokyo/sc_chuo/nc_79110115/,銀座タワー,2026-01-05,1億1000万円,東京都中央区銀座１-22-1,東京メトロ有楽町線「新富町」徒歩3分,73.81m2（22.32坪）（壁芯）,2LDK,12.88m2,2003年7月
/ms/chuko/tokyo/sc_chuo/nc_79101236/,カルムインフォアームズ東京コア,2026-01-05,1億1300万円,東京都中央区湊３,東京メトロ有楽町線「新富町」徒歩5分,57.49m2（壁芯）,3LDK,6.47m2,2000年6月
/ms/chuko/tokyo/sc_chuo/nc_78846061/,晴海アイランドトリトンスクエアビュータワー,2026-01-05,1億1380万円,東京都中央区晴海１-6-1,都営大江戸線「月島」徒歩7分,69.86m2（21.13坪）（壁芯）,2LDK,11.38m2,1998年2月
/ms/chuko/tokyo/sc_chuo/nc_78676556/,ザ・晴海レジデンス,2026-01-05,1億1380万円,東京都中央区晴海５-1-17,都営大江戸線「勝どき」徒歩10分,79.2m2（壁芯）,2LDK,14.46m2,2009年3月
/ms/chuko/tokyo/sc_chuo/nc_78299279/,ピアース日本橋箱崎町,2026-01-05,1億1980万円,東京都中央区日本橋箱崎町,東京メトロ半蔵門線「水天宮前」徒歩4分,56.95m2（壁芯）,ワンルーム,5.6m2,2018年2月
/ms/chuko/tokyo/sc_chuo/nc_79076794/,藤和シティホームズ日本橋イースト,2026-01-05,1億1980万円,東京都中央区東日本橋２,都営浅草線「東日本橋」徒歩3分,56.39m2（壁芯）,1LDK+S（納戸）,6m2,2004年12月
/ms/chuko/tokyo/sc_chuo/nc_78926474/,HARUMI FLAG PARK VILLAGE T…,2026-01-05,1億2000万円,東京都中央区晴海５-6-7,都営大江戸線「勝どき」徒歩15分,66.31m2（壁芯）,2LDK,16.84m2,2025年9月
/ms/chuko/tokyo/sc_chuo/nc_78212155/,イニシア築地レジデンス,2026-01-05,1億2280万円,東京都中央区築地７,東京メトロ日比谷線「築地」徒歩7分,54.11m2（壁芯）,2LDK,9.79m2,2021年2月
/ms/chuko/tokyo/sc_chuo/nc_79081543/,シティタワー銀座東,2026-01-05,1億2450万円,東京都中央区湊２-１１－１,ＪＲ京葉線「八丁堀」徒歩7分,45.75m2（13.83坪）（壁芯）,1LDK,10m2,2019年1月
/ms/chuko/tokyo/sc_chuo/nc_78213053/,ザ・パークハウス晴海タワーズ　クロノレジデンス,2026-01-05,1億2480万円,東京都中央区晴海２,都営大江戸線「勝どき」徒歩11分,61.82m2（壁芯）,2LDK,11.73m2,2013年10月
/ms/chuko/tokyo/sc_chuo/nc_77780811/,勝どきザ・タワー KACHIDOKI THE TOW…,2026-01-05,1億2480万円,東京都中央区勝どき５,都営大江戸線「勝どき」徒歩7分,58.98m2（壁芯）,1LDK+S（納戸）,5.91m2,2016年11月
/ms/chuko/tokyo/sc_chuo/nc_77429244/,ザ・パークハウス晴海タワーズティアロレジデンス,2026-01-05,1億2500万円,東京都中央区晴海２-3-2,東京メトロ有楽町線「月島」徒歩13分,65.54m2（19.82坪）（壁芯）,2LDK,9.87m2,2016年3月
/ms/chuko/tokyo/sc_chuo/nc_78993721/,東京日本橋シティタワー,2026-01-05,1億2800万円,東京都中央区新川１,ＪＲ京葉線「八丁堀」徒歩5分,55.92m2（壁芯）,2LDK,5.62m2,2000年1月
/ms/chuko/tokyo/sc_chuo/nc_78773482/,HARUMI FLAG SUN VILLAGE T棟…,2026-01-05,1億2970万円,東京都中央区晴海５-5-7,都営大江戸線「勝どき」徒歩18分,61.32m2（壁芯）,2LDK,15.72m2,2025年10月
/ms/chuko/tokyo/sc_chuo/nc_79067807/,藤和シティホームズ茅場町,2026-01-05,1億2980万円,東京都中央区新川１,東京メトロ東西線「茅場町」徒歩6分,77.83m2（壁芯）,3LDK,5.14m2,1998年5月
/ms/chuko/tokyo/sc_chuo/nc_79076361/,リビオ日本橋浜町パークフィール,2026-01-05,1億2980万円,東京都中央区日本橋浜町２,都営新宿線「浜町」徒歩2分,50.01m2（15.12坪）（壁芯）,2LDK,3.92m2,2010年8月
/ms/chuko/tokyo/sc_chuo/nc_78578543/,ザ・パークハウス晴海タワーズ　クロノレジデンス,2026-01-05,1億2980万円,東京都中央区晴海２,都営大江戸線「勝どき」徒歩11分,68.42m2（壁芯）,2LDK,11.73m2,2013年10月
/ms/chuko/tokyo/sc_chuo/nc_79102735/,ザ・パークハウス晴海タワーズ　ティアロレジデンス,2026-01-05,1億3380万円,東京都中央区晴海２-3-2,都営大江戸線「勝どき」徒歩13分,64.67m2（19.56坪）,2LDK+S（納戸）,11.84m2,2016年3月
/ms/chuko/tokyo/sc_chuo/nc_78765516/,クレヴィア東京八丁堀新川ザ・レジデンス,2026-01-05,1億3480万円,東京都中央区新川２,東京メトロ日比谷線「八丁堀」徒歩4分,57.63m2（壁芯）,2LDK,7.18m2,2019年2月
/ms/chuko/tokyo/sc_chuo/nc_79001011/,セザールベイサイド勝どき,2026-01-05,1億3480万円,東京都中央区勝どき３,都営大江戸線「勝どき」徒歩4分,76.67m2（壁芯）,3LDK,9.48m2,2002年12月
/ms/chuko/tokyo/sc_chuo/nc_78748140/,プレミスト明石町,2026-01-05,1億3480万円,東京都中央区明石町,東京メトロ有楽町線「新富町」徒歩8分,52.45m2（15.86坪）（壁芯）,2LDK,6.12m2,2012年7月
/ms/chuko/tokyo/sc_chuo/nc_78735197/,GREEN　PARK築地,2026-01-05,1億3500万円,東京都中央区築地７,東京メトロ日比谷線「築地」徒歩6分,56.3m2（壁芯）,2LDK,4.98m2,2012年6月
/ms/chuko/tokyo/sc_chuo/nc_78607188/,パークタワー勝どきミッド,2026-01-05,1億3700万円,東京都中央区勝どき４,都営大江戸線「勝どき」徒歩1分,50.01m2（壁芯）,1LDK,6.11m2,2023年8月
/ms/chuko/tokyo/sc_chuo/nc_79088935/,晴海アイランドトリトンスクエアビュータワー,2026-01-05,1億3880万円,東京都中央区晴海１,都営大江戸線「月島」徒歩6分,69.86m2（21.13坪）（壁芯）,2LDK+S（納戸）,11.38m2,1998年2月
/ms/chuko/tokyo/sc_chuo/nc_79001232/,グラーサ東京イースト,2026-01-05,1億3980万円,東京都中央区新川２,ＪＲ京葉線「八丁堀」徒歩6分,67.24m2（20.34坪）（壁芯）,3LDK,6.26m2,2002年9月
/ms/chuko/tokyo/sc_chuo/nc_78997892/,HARUMI FLAG SUN VILLAGE D棟,2026-01-05,1億3980万円,東京都中央区晴海５,都営大江戸線「勝どき」徒歩13分,76.48m2（壁芯）,3LDK,19.75m2,2023年11月
/ms/chuko/tokyo/sc_chuo/nc_79066581/,グラーサ東京イースト,2026-01-05,1億3980万円,東京都中央区新川２,東京メトロ日比谷線「八丁堀」徒歩7分,67.24m2（20.34坪）（壁芯）,3LDK,6.26m2,2002年9月
/ms/chuko/tokyo/sc_chuo/nc_78790556/,アスコットパーク日本橋小伝馬町,2026-01-05,1億4500万円,東京都中央区日本橋小伝馬町,東京メトロ日比谷線「小伝馬町」徒歩2分,62.07m2（壁芯）,1LDK+S（納戸）,5.7m2,2011年8月
/ms/chuko/tokyo/sc_chuo/nc_78636332/,パークタワー勝どきミッド,2026-01-05,1億4500万円,東京都中央区勝どき４,都営大江戸線「勝どき」徒歩1分,50.01m2（壁芯）,1LDK,5.88m2,2023年8月
/ms/chuko/tokyo/sc_chuo/nc_78301110/,ザ・パークハウス晴海タワーズ　クロノレジデンス,2026-01-05,1億4500万円,東京都中央区晴海２,都営大江戸線「勝どき」徒歩11分,65.61m2（壁芯）,2LDK,11.73m2,2013年10月
/ms/chuko/tokyo/sc_chuo/nc_79017407/,ザ・パークハウス晴海タワーズティアロレジデンス,2026-01-05,1億4500万円,東京都中央区晴海２,都営大江戸線「勝どき」徒歩14分,73.12m2（壁芯）,3LDK,13.81m2,2016年3月
/ms/chuko/tokyo/sc_chuo/nc_79085150/,晴海アイランドトリトンスクエア　ビュータワー,2026-01-05,1億4600万円,東京都中央区晴海１-6-1,東京メトロ有楽町線「月島」徒歩7分,91.42m2（27.65坪）,3LDK,-,1998年1月
/ms/chuko/tokyo/sc_chuo/nc_77432679/,ファミール日本橋ブルー・クレール,2026-01-05,1億4690万円,東京都中央区日本橋大伝馬町,東京メトロ日比谷線「小伝馬町」徒歩3分,76.52m2（壁芯）,3LDK,4.68m2,2004年2月
/ms/chuko/tokyo/sc_chuo/nc_78652698/,ドゥトゥール　 WEST,2026-01-05,1億4700万円,東京都中央区晴海３,都営大江戸線「勝どき」徒歩5分,57.49m2（壁芯）,2LDK,6.1m2,2015年10月
/ms/chuko/tokyo/sc_chuo/nc_77475331/,ザ・パークハウス晴海タワーズティアロレジデンス,2026-01-05,1億4800万円,東京都中央区晴海２,都営大江戸線「勝どき」徒歩13分,73.45m2（22.21坪）（壁芯）,2LDK,11.84m2,2016年3月
/ms/chuko/tokyo/sc_chuo/nc_78732906/,ザ・サンクレイドル日本橋レジデンス,2026-01-05,1億4800万円,東京都中央区日本橋富沢町,都営新宿線「馬喰横山」徒歩3分,64.28m2（壁芯）,2LDK,8.01m2,2018年12月
/ms/chuko/tokyo/sc_chuo/nc_78795555/,インプレスト東京八丁堀ル・サンク,2026-01-05,1億4880万円,東京都中央区八丁堀３,ＪＲ京葉線「八丁堀」徒歩2分,53.58m2（壁芯）,2LDK,5.64m2,2019年8月
