link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_suginami/nc_78275969/,久我山マンション,2026-01-05,3380万円,東京都杉並区久我山５,京王井の頭線「久我山」徒歩2分,36.9m2（11.16坪）（壁芯）,1LDK,4.77m2,1974年3月
/ms/chuko/tokyo/sc_suginami/nc_78506263/,光荻窪マンション,2026-01-05,3380万円,東京都杉並区荻窪４,ＪＲ中央線「荻窪」徒歩4分,42.43m2（壁芯）,1LDK,2.2m2,1972年10月
/ms/chuko/tokyo/sc_suginami/nc_77999317/,光荻窪マンション,2026-01-05,3380万円,東京都杉並区荻窪４,ＪＲ総武線「荻窪」徒歩4分,42.43m2（12.83坪）（壁芯）,1LDK,2.2m2,1972年10月
/ms/chuko/tokyo/sc_suginami/nc_78227276/,久我山マンション,2026-01-05,3380万円,東京都杉並区久我山５,京王井の頭線「久我山」徒歩2分,36.9m2（壁芯）,1LDK,4.77m2,1974年3月
/ms/chuko/tokyo/sc_suginami/nc_79129115/,阿佐ヶ谷陵雲閣マンション,2026-01-05,3577万円,東京都杉並区成田東５,東京メトロ丸ノ内線「南阿佐ケ谷」徒歩2分,40.5m2（壁芯）,1LDK,4.5m2,1973年8月
/ms/chuko/tokyo/sc_suginami/nc_79029218/,シンシア荻窪,2026-01-05,3580万円,東京都杉並区上荻１,ＪＲ総武線「荻窪」徒歩6分,28.58m2（8.64坪）（壁芯）,ワンルーム,2.28m2,2000年9月
/ms/chuko/tokyo/sc_suginami/nc_78815337/,シンシア荻窪　◆2025年11月新規リノベーション　…,2026-01-05,3580万円,東京都杉並区上荻１,ＪＲ中央線「荻窪」徒歩4分,28.58m2（8.64坪）（壁芯）,ワンルーム,2.28m2,2000年10月
/ms/chuko/tokyo/sc_suginami/nc_78477066/,丸新マンション荻窪,2026-01-05,3580万円,東京都杉並区荻窪５,ＪＲ中央線「荻窪」徒歩3分,38.1m2（11.52坪）（壁芯）,1LDK,6.3m2,1972年11月
/ms/chuko/tokyo/sc_suginami/nc_79053918/,井草サマリヤマンション,2026-01-05,3680万円,東京都杉並区井草１,西武新宿線「下井草」徒歩2分,48.6m2（壁芯）,2DK,6.48m2,1973年7月
/ms/chuko/tokyo/sc_suginami/nc_78556698/,丸新マンション荻窪,2026-01-05,3680万円,東京都杉並区荻窪５,東京メトロ丸ノ内線「荻窪」徒歩3分,38.1m2（壁芯）,1LDK,6.3m2,1972年11月
/ms/chuko/tokyo/sc_suginami/nc_79060365/,井草サマリヤマンション,2026-01-05,3680万円,東京都杉並区井草１,西武新宿線「下井草」徒歩2分,48.6m2（壁芯）,2DK,6.4m2,1973年7月
/ms/chuko/tokyo/sc_suginami/nc_78756054/,デュオステージ浜田山,2026-01-05,3780万円,東京都杉並区浜田山３,京王井の頭線「浜田山」徒歩7分,30.81m2（壁芯）,1DK,5.59m2,2005年9月
/ms/chuko/tokyo/sc_suginami/nc_78999126/,高円寺日東マンションＢ棟,2026-01-05,3780万円,東京都杉並区高円寺南５,東京メトロ丸ノ内線「東高円寺」徒歩8分,46.09m2（13.94坪）（壁芯）,2LDK,6.1m2,1968年6月
/ms/chuko/tokyo/sc_suginami/nc_78717088/,高円寺日東マンションB,2026-01-05,3780万円,東京都杉並区高円寺南５-９―４,東京メトロ丸ノ内線「東高円寺」徒歩9分,46.09m2（登記）,2LDK,1m2,1968年3月
/ms/chuko/tokyo/sc_suginami/nc_78870435/,サンハイツ永福町,2026-01-05,3790万円,東京都杉並区永福４-19-32,京王井の頭線「西永福」徒歩3分,37.5m2（11.34坪）（壁芯）,1LDK,2.42m2,1974年2月
/ms/chuko/tokyo/sc_suginami/nc_78814525/,サンハイツ永福町,2026-01-05,3790万円,東京都杉並区永福４-19-32,京王井の頭線「西永福」徒歩3分,37.5m2（壁芯）,1LDK,2.42m2,1974年2月
/ms/chuko/tokyo/sc_suginami/nc_79094102/,サンハイツ永福町,2026-01-05,3790万円,東京都杉並区永福４-19-32,京王井の頭線「西永福」徒歩3分,37.5m2（11.34坪）（壁芯）,1LDK,2.42m2,1974年2月
/ms/chuko/tokyo/sc_suginami/nc_78922200/,サンハイツ永福町,2026-01-05,3790万円,東京都杉並区永福４,京王井の頭線「西永福」徒歩3分,37.5m2（11.34坪）（壁芯）,1LDK,2.42m2,1974年2月
