link,物件名,date,販売価格,所在地,沿線・駅,専有面積,間取り,バルコニー,築年月
/ms/chuko/tokyo/sc_sumida/nc_77784912/,ライオンズマンション菊川,2026-01-05,3980万円,東京都墨田区菊川１,都営新宿線「菊川」徒歩3分,44.62m2（13.49坪）（壁芯）,1LDK,2.97m2,1982年9月
/ms/chuko/tokyo/sc_sumida/nc_79056217/,東向島サニーホームズ,2026-01-05,3980万円,東京都墨田区東向島２,東武伊勢崎線「曳舟」徒歩3分,56.27m2（壁芯）,2LDK,7.14m2,1973年7月
/ms/chuko/tokyo/sc_sumida/nc_78569543/,ライオンズマンション錦糸町第６,2026-01-05,4180万円,東京都墨田区太平１-11-4,ＪＲ総武線「錦糸町」徒歩9分,33.87m2（10.24坪）,1LDK,2.94m2,1987年9月
/ms/chuko/tokyo/sc_sumida/nc_78767122/,ライオンズマンション錦糸町第6,2026-01-05,4180万円,東京都墨田区太平１-11-4,ＪＲ総武線「錦糸町」徒歩9分,33.87m2（10.24坪）（壁芯）,1LDK,2.94m2,1987年9月
/ms/chuko/tokyo/sc_sumida/nc_78109771/,ライオンズマンション錦糸町第6,2026-01-05,4180万円,東京都墨田区太平１-11-4,ＪＲ総武線「錦糸町」徒歩9分,33.87m2（10.24坪）（壁芯）,1LDK,2.94m2,1987年9月
/ms/chuko/tokyo/sc_sumida/nc_79062433/,ライオンズマンション錦糸町第6,2026-01-05,4180万円,東京都墨田区太平１-11-4,ＪＲ総武線「錦糸町」徒歩9分,33.87m2（壁芯）,1LDK,2.94m2,1987年9月
/ms/chuko/tokyo/sc_sumida/nc_78699256/,ライオンズマンション錦糸町第６,2026-01-05,4180万円,東京都墨田区太平１-11‐4,ＪＲ総武線「錦糸町」徒歩9分,33.87m2（壁芯）,1LDK,2.94m2,1987年9月
/ms/chuko/tokyo/sc_sumida/nc_78166270/,ライオンズマンション錦糸町第6,2026-01-05,4180万円,東京都墨田区太平１,ＪＲ総武線快速「錦糸町」徒歩9分,33.87m2（壁芯）,1LDK,2.94m2,1987年9月
/ms/chuko/tokyo/sc_sumida/nc_78131842/,ライオンズマンション錦糸町第6,2026-01-05,4180万円,東京都墨田区太平１,ＪＲ総武線快速「錦糸町」徒歩9分,33.87m2（壁芯）,1LDK,2.94m2,1987年9月
/ms/chuko/tokyo/sc_sumida/nc_78370318/,～ライオンズマンション錦糸町第6～ 中国語も対応可能…,2026-01-05,4180万円,東京都墨田区太平１,ＪＲ総武線「錦糸町」徒歩9分,33.87m2（壁芯）,1LDK,2.94m2,1987年9月
/ms/chuko/tokyo/sc_sumida/nc_78651498/,ライオンズマンション錦糸町第6,2026-01-05,4180万円,東京都墨田区太平１,ＪＲ総武線「錦糸町」徒歩9分,33.87m2（壁芯）,1LDK,2.94m2,1987年9月
/ms/chuko/tokyo/sc_sumida/nc_78688528/,ライオンズマンション錦糸町第６,2026-01-05,4180万円,東京都墨田区太平１-11-4,ＪＲ総武線「錦糸町」徒歩9分,33.87m2（壁芯）,1LDK,2.94m2,1987年9月
/ms/chuko/tokyo/sc_sumida/nc_78482627/,両国緑スカイハイツ,2026-01-05,4190万円,東京都墨田区緑３,都営大江戸線「両国」徒歩8分,43.2m2（壁芯）,2DK,7.35m2,1984年1月
/ms/chuko/tokyo/sc_sumida/nc_78888001/,◇初公開　グラーサ向島　隅田公園◇,2026-01-05,4280万円,東京都墨田区向島２-16-1,東武伊勢崎線「とうきょうスカイツリー」徒歩8分,47.39m2（14.33坪）（壁芯）,1LDK,4.7m2,2006年8月
/ms/chuko/tokyo/sc_sumida/nc_78748851/,ライオンズプラザ東向島,2026-01-05,4280万円,東京都墨田区墨田１,東武伊勢崎線「東向島」徒歩3分,51.66m2（壁芯）,3DK,6.5m2,1993年5月
/ms/chuko/tokyo/sc_sumida/nc_79109227/,シーアイマンションあずま百樹園,2026-01-05,4280万円,東京都墨田区文花２,東武亀戸線「小村井」徒歩5分,56.7m2（壁芯）,2LDK,7.8m2,1995年3月
/ms/chuko/tokyo/sc_sumida/nc_79114753/,リリーベル墨田リバーコースト,2026-01-05,4480万円,東京都墨田区墨田４,東武伊勢崎線「鐘ヶ淵」徒歩2分,75.73m2（22.90坪）（壁芯）,3LDK,14.79m2,2006年6月
/ms/chuko/tokyo/sc_sumida/nc_79105693/,リリーベル墨田リバーコースト,2026-01-05,4480万円,東京都墨田区墨田４,東武伊勢崎線「鐘ヶ淵」徒歩5分,75.73m2（壁芯）,3LDK,14.79m2,2006年6月
/ms/chuko/tokyo/sc_sumida/nc_78687826/,ライオンズマンション隅田公園,2026-01-05,4480万円,東京都墨田区向島２-12-4,東京メトロ半蔵門線「押上」徒歩9分,48.3m2（14.61坪）（壁芯）,2LDK,5.4m2,1983年5月
/ms/chuko/tokyo/sc_sumida/nc_78692319/,リリーベル墨田リバーコースト,2026-01-05,4480万円,東京都墨田区墨田４,東武伊勢崎線「鐘ヶ淵」徒歩5分,75.73m2（22.90坪）（壁芯）,3LDK,-,2006年6月
/ms/chuko/tokyo/sc_sumida/nc_78818661/,ライオンズマンション平井第2,2026-01-05,4480万円,東京都墨田区立花４-40-10,ＪＲ総武線「平井」徒歩8分,58.52m2（17.70坪）（壁芯）,3LDK,8.53m2,1995年8月
